,X,Y,Z
0,1.21413817e-05,5.48707952e-07,-28.230795577466836
1,1.21413817e-05,1.4257592166425702e-06,-47.63499029588968
2,1.21413817e-05,2.3028104812851405e-06,-82.22259703584598
3,1.21413817e-05,3.179861745927711e-06,-116.7062737670484
4,1.21413817e-05,4.056913010570281e-06,-146.32720714277843
5,1.21413817e-05,4.9339642752128516e-06,-170.04519774094422
6,1.21413817e-05,5.8110155398554225e-06,-188.2609320968703
7,1.21413817e-05,6.688066804497992e-06,-201.87143158176195
8,1.21413817e-05,7.565118069140563e-06,-211.8495354335239
9,1.21413817e-05,8.442169333783133e-06,-219.06731832109023
10,1.21413817e-05,9.319220598425703e-06,-224.2389486331141
11,1.21413817e-05,1.0196271863068274e-05,-227.9194589995846
12,1.21413817e-05,1.1073323127710845e-05,-230.52615869328883
13,1.21413817e-05,1.1950374392353414e-05,-232.366019053284
14,1.21413817e-05,1.2827425656995985e-05,-233.66121002262878
15,1.21413817e-05,1.3704476921638554e-05,-234.57122214873573
16,1.21413817e-05,1.4581528186281125e-05,-235.2096098687848
17,1.21413817e-05,1.5458579450923696e-05,-235.65681949072768
18,1.21413817e-05,1.6335630715566267e-05,-235.96964327489525
19,1.21413817e-05,1.7212681980208834e-05,-236.18807583501007
20,1.21413817e-05,1.8089733244851405e-05,-236.34023304725702
21,1.21413817e-05,1.8966784509493976e-05,-236.44585496533455
22,1.21413817e-05,1.9843835774136547e-05,-236.51878768003007
23,1.21413817e-05,2.0720887038779118e-05,-236.56873555001198
24,1.21413817e-05,2.159793830342169e-05,-236.6024952648571
25,1.21413817e-05,2.2474989568064256e-05,-236.62482347703337
26,1.21413817e-05,2.3352040832706827e-05,-236.6390460715486
27,1.21413817e-05,2.4229092097349398e-05,-236.6474856364502
28,1.21413817e-05,2.510614336199197e-05,-236.65176119690523
29,1.21413817e-05,2.598319462663454e-05,-236.65299837024986
30,1.21413817e-05,2.6860245891277107e-05,-236.651976397505
31,1.21413817e-05,2.7737297155919678e-05,-236.64923086975108
32,1.21413817e-05,2.861434842056225e-05,-236.64512668178395
33,1.21413817e-05,2.949139968520482e-05,-236.63990805943666
34,1.21413817e-05,3.036845094984739e-05,-236.63373387567958
35,1.21413817e-05,3.1245502214489955e-05,-236.62670232204948
36,1.21413817e-05,3.212255347913253e-05,-236.61886812022794
37,1.21413817e-05,3.29996047437751e-05,-236.61025450346807
38,1.21413817e-05,3.3876656008417664e-05,-236.60086153028072
39,1.21413817e-05,3.475370727306024e-05,-236.5906718223531
40,1.21413817e-05,3.5630758537702806e-05,-236.57965449505264
41,1.21413817e-05,3.650780980234538e-05,-236.5677678121461
42,1.21413817e-05,3.738486106698795e-05,-236.5549609437566
43,1.21413817e-05,3.8261912331630516e-05,-236.54117508535955
44,1.21413817e-05,3.913896359627309e-05,-236.5263441235836
45,1.21413817e-05,4.001601486091566e-05,-236.5103949757006
46,1.21413817e-05,4.089306612555823e-05,-236.49324761742776
47,1.21413817e-05,4.17701173902008e-05,-236.47481504111443
48,1.21413817e-05,4.2647168654843373e-05,-236.45500333907262
49,1.21413817e-05,4.352421991948594e-05,-236.43371098445152
50,1.21413817e-05,4.440127118412851e-05,-236.4108285774613
51,1.21413817e-05,4.527832244877108e-05,-236.38623837108094
52,1.21413817e-05,4.615537371341365e-05,-236.35981373075913
53,1.21413817e-05,4.7032424978056225e-05,-236.33141853440554
54,1.21413817e-05,4.790947624269879e-05,-236.30090651381067
55,1.21413817e-05,4.878652750734136e-05,-236.2681205388443
56,1.21413817e-05,4.9663578771983934e-05,-236.23289184255407
57,1.21413817e-05,5.05406300366265e-05,-236.1950391877706
58,1.21413817e-05,5.1417681301269076e-05,-236.1543679690949
59,1.21413817e-05,5.229473256591164e-05,-236.1106692512326
60,1.21413817e-05,5.317178383055421e-05,-236.06371873751277
61,1.21413817e-05,5.4048835095196785e-05,-236.01327566548355
62,1.21413817e-05,5.492588635983935e-05,-235.95908162549028
63,1.21413817e-05,5.580293762448193e-05,-235.90085898304187
64,1.21413817e-05,5.6679988889124494e-05,-235.83830991838397
65,1.21413817e-05,5.755704015376706e-05,-235.77111557957124
66,1.21413817e-05,5.8434091418409636e-05,-235.69893343377407
67,1.21413817e-05,5.9311142683052204e-05,-235.62139606786081
68,1.21413817e-05,6.018819394769478e-05,-235.53810944004726
69,1.21413817e-05,6.106524521233735e-05,-235.44865101761877
70,1.21413817e-05,6.194229647697991e-05,-235.3525677953212
71,1.21413817e-05,6.281934774162248e-05,-235.24937418703678
72,1.21413817e-05,6.369639900626506e-05,-235.1385497868249
73,1.21413817e-05,6.457345027090763e-05,-235.0195369913314
74,1.21413817e-05,6.54505015355502e-05,-234.89173847873167
75,1.21413817e-05,6.632755280019276e-05,-234.75451453867737
76,1.21413817e-05,6.720460406483533e-05,-234.60718024730977
77,1.21413817e-05,6.808165532947791e-05,-234.44900248218875
78,1.21413817e-05,6.895870659412048e-05,-234.27919677402622
79,1.21413817e-05,6.983575785876305e-05,-234.09692399092057
80,1.21413817e-05,7.071280912340562e-05,-233.90128555805205
81,1.21413817e-05,7.158986038804818e-05,-233.691322036957
82,1.21413817e-05,7.246691165269076e-05,-233.46600992406047
83,1.21413817e-05,7.334396291733333e-05,-233.2242548126162
84,1.21413817e-05,7.42210141819759e-05,-232.96488849033915
85,1.21413817e-05,7.509806544661847e-05,-232.68666461406985
86,1.21413817e-05,7.597511671126103e-05,-232.38825423507075
87,1.21413817e-05,7.685216797590362e-05,-232.06824118694817
88,1.21413817e-05,7.772921924054618e-05,-231.7251173535284
89,1.21413817e-05,7.860627050518875e-05,-231.35727783944225
90,1.21413817e-05,7.948332176983132e-05,-230.96301606878683
91,1.21413817e-05,8.036037303447389e-05,-230.54051884904106
92,1.21413817e-05,8.123742429911647e-05,-230.08786143657125
93,1.21413817e-05,8.211447556375903e-05,-229.60300265717876
94,1.21413817e-05,8.29915268284016e-05,-229.083780136957
95,1.21413817e-05,8.386857809304417e-05,-228.5279057148656
96,1.21413817e-05,8.474562935768675e-05,-227.93296111436678
97,1.21413817e-05,8.562268062232932e-05,-227.29638900656767
98,1.21413817e-05,8.649973188697188e-05,-226.61549981089001
99,1.21413817e-05,8.737678315161445e-05,-225.88746632305993
100,1.21413817e-05,8.825383441625702e-05,-225.109315195181
101,1.21413817e-05,8.91308856808996e-05,-224.27792901670966
102,1.21413817e-05,9.000793694554217e-05,-223.39004605004243
103,1.21413817e-05,9.088498821018474e-05,-222.44226122316798
104,1.21413817e-05,9.17620394748273e-05,-221.431028594738
105,1.21413817e-05,9.263909073946987e-05,-220.35266553332565
106,1.21413817e-05,9.351614200411245e-05,-219.20335886850188
107,1.21413817e-05,9.439319326875502e-05,-217.97917329673123
108,1.21413817e-05,9.527024453339759e-05,-216.6760623389256
109,1.21413817e-05,9.614729579804015e-05,-215.28988216825132
110,1.21413817e-05,9.702434706268272e-05,-213.81640863380164
111,1.21413817e-05,9.79013983273253e-05,-212.25135781878146
112,1.21413817e-05,9.877844959196787e-05,-210.59041047099504
113,1.21413817e-05,9.965550085661044e-05,-208.8292406361321
114,1.21413817e-05,0.000100532552121253,-206.963532111738
115,1.21413817e-05,0.00010140960338589557,-204.98905570971465
116,1.21413817e-05,0.00010228665465053815,-202.90169150984696
117,1.21413817e-05,0.00010316370591518072,-200.69746732718522
118,1.21413817e-05,0.00010404075717982329,-198.3726202116511
119,1.21413817e-05,0.00010491780844446586,-195.92365536871802
120,1.21413817e-05,0.00010579485970910842,-193.34741030815803
121,1.21413817e-05,0.000106671910973751,-190.64112396212988
122,1.21413817e-05,0.00010754896223839357,-187.80251034107147
123,1.21413817e-05,0.00010842601350303614,-184.8298361088173
124,1.21413817e-05,0.00010930306476767871,-181.72200123944612
125,1.21413817e-05,0.00011018011603232128,-178.47862168938389
126,1.21413817e-05,0.00011105716729696386,-175.10011277176716
127,1.21413817e-05,0.00011193421856160642,-171.58777166782897
128,1.21413817e-05,0.00011281126982624899,-167.9438572599164
129,1.21413817e-05,0.00011368832109089156,-164.17166523567892
130,1.21413817e-05,0.00011456537235553413,-160.2755962002575
131,1.21413817e-05,0.00011544242362017671,-156.2611742238766
132,1.21413817e-05,0.00011631947488481928,-152.1351984612395
133,1.21413817e-05,0.00011719652614946184,-147.9056989530593
134,1.21413817e-05,0.00011807357741410441,-143.581950607075
135,1.21413817e-05,0.00011895062867874698,-139.17448140860347
136,1.21413817e-05,0.00011982767994338956,-134.69504624555282
137,1.21413817e-05,0.00012070473120803213,-130.1565772636372
138,1.21413817e-05,0.0001215817824726747,-125.57310945432721
139,1.21413817e-05,0.00012245883373731726,-120.95968078199087
140,1.21413817e-05,0.00012333588500195984,-116.33220686235722
141,1.21413817e-05,0.00012421293626660242,-111.70733099554991
142,1.21413817e-05,0.00012508998753124498,-107.10225120312805
143,1.21413817e-05,0.00012596703879588756,-102.53452678903568
144,1.21413817e-05,0.00012684409006053014,-98.02186779971044
145,1.21413817e-05,0.0001277211413251727,-93.58191155609637
146,1.21413817e-05,0.00012859819258981528,-89.23199112353268
147,1.21413817e-05,0.00012947524385445783,-84.98890113884158
148,1.21413817e-05,0.0001303522951191004,-80.86862211897039
149,1.21413817e-05,0.000131229346383743,-76.88622772271259
150,1.21413817e-05,0.00013210639764838555,-73.05556247579511
151,1.21413817e-05,0.00013298344891302813,-69.389077431489
152,1.21413817e-05,0.00013386050017767068,-65.89767782471029
153,1.21413817e-05,0.00013473755144231326,-62.590591926704064
154,1.21413817e-05,0.00013561460270695584,-59.47527298585112
155,1.21413817e-05,0.0001364916539715984,-56.55733647494924
156,1.21413817e-05,0.00013736870523624098,-53.84053369537821
157,1.21413817e-05,0.00013824575650088353,-51.32676159056928
158,1.21413817e-05,0.0001391228077655261,-49.01610745196308
159,1.21413817e-05,0.0001399998590301687,-46.90692611834709
160,1.21413817e-05,0.00014087691029481125,-44.995946319553866
161,1.21413817e-05,0.00014175396155945383,-43.2784020451104
162,1.21413817e-05,0.00014263101282409638,-41.748184246413416
163,1.21413817e-05,0.00014350806408873896,-40.39800783155556
164,1.21413817e-05,0.00014438511535338154,-39.21958878158557
165,1.21413817e-05,0.0001452621666180241,-38.20381487684074
166,1.21413817e-05,0.00014613921788266668,-37.34096520403921
167,1.21413817e-05,0.00014701626914730923,-36.620848824080554
168,1.21413817e-05,0.00014789332041195181,-36.03298766200464
169,1.21413817e-05,0.0001487703716765944,-35.56677637431994
170,1.21413817e-05,0.00014964742294123695,-35.21162747168256
171,1.21413817e-05,0.00015052447420587953,-34.957100844400884
172,1.21413817e-05,0.00015140152547052208,-34.793016535873846
173,1.21413817e-05,0.00015227857673516467,-34.70955023624629
174,1.21413817e-05,0.00015315562799980725,-34.6973115281358
175,1.21413817e-05,0.0001540326792644498,-34.74740539511441
176,1.21413817e-05,0.00015490973052909238,-34.851477893599565
177,1.21413817e-05,0.00015578678179373494,-35.001747189545256
178,1.21413817e-05,0.00015666383305837752,-35.191021373422814
179,1.21413817e-05,0.0001575408843230201,-35.41270459870543
180,1.21413817e-05,0.00015841793558766265,-35.6607931502449
181,1.21413817e-05,0.00015929498685230523,-35.92986311841014
182,1.21413817e-05,0.0001601720381169478,-36.215054604438365
183,1.21413817e-05,0.00016104908938159037,-36.512036205043955
184,1.21413817e-05,0.00016192614064623295,-36.81698664517438
185,1.21413817e-05,0.0001628031919108755,-37.12655968426117
186,1.21413817e-05,0.00016368024317551808,-37.437850511670945
187,1.21413817e-05,0.00016455729444016064,-37.74836122539068
188,1.21413817e-05,0.00016543434570480322,-38.05596616469364
189,1.21413817e-05,0.0001663113969694458,-38.35887772995068
190,1.21413817e-05,0.00016718844823408835,-38.65561319488694
191,1.21413817e-05,0.00016806549949873094,-38.94496290066718
192,1.21413817e-05,0.00016894255076337352,-39.22596011958086
