,X,Y,Z
0,1.2595039000000001e-06,2.9059017225e-07,-1035.968260125328
1,1.2595039000000001e-06,2.925470084267677e-07,-1042.8651440998628
2,1.2595039000000001e-06,2.945038446035354e-07,-1049.8287842834266
3,1.2595039000000001e-06,2.9646068078030303e-07,-1056.6809367516066
4,1.2595039000000001e-06,2.984175169570707e-07,-1063.5518980874494
5,1.2595039000000001e-06,3.003743531338384e-07,-1070.3964965339692
6,1.2595039000000001e-06,3.023311893106061e-07,-1077.1373375236599
7,1.2595039000000001e-06,3.042880254873738e-07,-1083.9737858125654
8,1.2595039000000001e-06,3.0624486166414146e-07,-1090.7001431403633
9,1.2595039000000001e-06,3.082016978409091e-07,-1097.4126507174224
10,1.2595039000000001e-06,3.101585340176768e-07,-1104.1293841412744
11,1.2595039000000001e-06,3.1211537019444446e-07,-1110.7383647275446
12,1.2595039000000001e-06,3.1407220637121215e-07,-1117.4195963026868
13,1.2595039000000001e-06,3.1602904254797984e-07,-1124.017587510607
14,1.2595039000000001e-06,3.179858787247475e-07,-1130.5707937526263
15,1.2595039000000001e-06,3.1994271490151516e-07,-1137.1573138675649
16,1.2595039000000001e-06,3.2189955107828284e-07,-1143.6375873633478
17,1.2595039000000001e-06,3.2385638725505053e-07,-1150.1576501841319
18,1.2595039000000001e-06,3.258132234318182e-07,-1156.6252251344667
19,1.2595039000000001e-06,3.277700596085859e-07,-1163.0187601211628
20,1.2595039000000001e-06,3.2972689578535353e-07,-1169.4732204316933
21,1.2595039000000001e-06,3.316837319621212e-07,-1175.8230157661592
22,1.2595039000000001e-06,3.336405681388889e-07,-1182.1818194547395
23,1.2595039000000001e-06,3.355974043156566e-07,-1188.517399275106
24,1.2595039000000001e-06,3.375542404924243e-07,-1194.751318940223
25,1.2595039000000001e-06,3.3951107666919196e-07,-1201.0723269857153
26,1.2595039000000001e-06,3.414679128459596e-07,-1207.2903158695035
27,1.2595039000000001e-06,3.434247490227273e-07,-1213.4881694688374
28,1.2595039000000001e-06,3.4538158519949497e-07,-1219.6906018945392
29,1.2595039000000001e-06,3.4733842137626265e-07,-1225.7923186135172
30,1.2595039000000001e-06,3.4929525755303034e-07,-1231.9519161171538
31,1.2595039000000001e-06,3.5125209372979797e-07,-1238.0371712213218
32,1.2595039000000001e-06,3.5320892990656566e-07,-1244.074739645106
33,1.2595039000000001e-06,3.5516576608333334e-07,-1250.1432586780284
34,1.2595039000000001e-06,3.5712260226010103e-07,-1256.1127563823356
35,1.2595039000000001e-06,3.590794384368687e-07,-1262.1111238516119
36,1.2595039000000001e-06,3.610362746136364e-07,-1268.0630809620816
37,1.2595039000000001e-06,3.6299311079040403e-07,-1273.9413459549146
38,1.2595039000000001e-06,3.649499469671717e-07,-1279.8755353270535
39,1.2595039000000001e-06,3.669067831439394e-07,-1285.7124387472868
40,1.2595039000000001e-06,3.688636193207071e-07,-1291.5507538095812
41,1.2595039000000001e-06,3.708204554974748e-07,-1297.3691774822937
42,1.2595039000000001e-06,3.727772916742424e-07,-1303.0925484245618
43,1.2595039000000001e-06,3.747341278510101e-07,-1308.8891625166007
44,1.2595039000000001e-06,3.766909640277778e-07,-1314.5934054586633
45,1.2595039000000001e-06,3.7864780020454547e-07,-1320.2731090790676
46,1.2595039000000001e-06,3.8060463638131315e-07,-1325.958061405303
47,1.2595039000000001e-06,3.8256147255808084e-07,-1331.5497159295319
48,1.2595039000000001e-06,3.845183087348485e-07,-1337.1872773075988
49,1.2595039000000001e-06,3.8647514491161616e-07,-1342.7590732125282
50,1.2595039000000001e-06,3.8843198108838384e-07,-1348.281839735675
51,1.2595039000000001e-06,3.9038881726515153e-07,-1353.833651863557
52,1.2595039000000001e-06,3.923456534419192e-07,-1359.2939449120486
53,1.2595039000000001e-06,3.9430248961868685e-07,-1364.7742791182663
54,1.2595039000000001e-06,3.9625932579545453e-07,-1370.2140941832813
55,1.2595039000000001e-06,3.982161619722222e-07,-1375.5818042241235
56,1.2595039000000001e-06,4.001729981489899e-07,-1381.0010503432131
57,1.2595039000000001e-06,4.021298343257576e-07,-1386.3305742301764
58,1.2595039000000001e-06,4.040866705025253e-07,-1391.6556986198475
59,1.2595039000000001e-06,4.0604350667929296e-07,-1396.9642272127458
60,1.2595039000000001e-06,4.080003428560606e-07,-1402.1851626667622
61,1.2595039000000001e-06,4.099571790328283e-07,-1407.466416600464
62,1.2595039000000001e-06,4.1191401520959597e-07,-1412.665977758651
63,1.2595039000000001e-06,4.138708513863636e-07,-1417.838078159969
64,1.2595039000000001e-06,4.158276875631313e-07,-1423.0162202900597
65,1.2595039000000001e-06,4.1778452373989897e-07,-1428.1085571643102
66,1.2595039000000001e-06,4.1974135991666666e-07,-1433.2368553631914
67,1.2595039000000001e-06,4.2169819609343434e-07,-1438.307453006952
68,1.2595039000000001e-06,4.2365503227020203e-07,-1443.3288624976822
69,1.2595039000000001e-06,4.256118684469697e-07,-1448.3777031337313
70,1.2595039000000001e-06,4.275687046237374e-07,-1453.3425328644635
71,1.2595039000000001e-06,4.2952554080050503e-07,-1458.320312704981
72,1.2595039000000001e-06,4.314823769772727e-07,-1463.2631192275876
73,1.2595039000000001e-06,4.334392131540404e-07,-1468.1362987999028
74,1.2595039000000001e-06,4.3539604933080804e-07,-1473.0570888675993
75,1.2595039000000001e-06,4.373528855075757e-07,-1477.8956649055872
76,1.2595039000000001e-06,4.393097216843434e-07,-1482.7254811233925
77,1.2595039000000001e-06,4.412665578611111e-07,-1487.5418240675008
78,1.2595039000000001e-06,4.432233940378788e-07,-1492.27795941781
79,1.2595039000000001e-06,4.4518023021464647e-07,-1497.0634838750184
80,1.2595039000000001e-06,4.4713706639141415e-07,-1501.7772045665447
81,1.2595039000000001e-06,4.4909390256818184e-07,-1506.4617124818742
82,1.2595039000000001e-06,4.510507387449495e-07,-1511.1530579288528
83,1.2595039000000001e-06,4.5300757492171716e-07,-1515.76596481263
84,1.2595039000000001e-06,4.5496441109848484e-07,-1520.4066050771762
85,1.2595039000000001e-06,4.569212472752525e-07,-1524.9969978938834
86,1.2595039000000001e-06,4.5887808345202016e-07,-1529.5389380744382
87,1.2595039000000001e-06,4.6083491962878785e-07,-1534.1068753385453
88,1.2595039000000001e-06,4.6279175580555553e-07,-1538.598137578976
89,1.2595039000000001e-06,4.647485919823232e-07,-1543.0967039360794
90,1.2595039000000001e-06,4.667054281590909e-07,-1547.5654109191778
91,1.2595039000000001e-06,4.686622643358586e-07,-1551.9675951719018
92,1.2595039000000001e-06,4.706191005126263e-07,-1556.4138226790856
93,1.2595039000000001e-06,4.7257593668939396e-07,-1560.7851304451488
94,1.2595039000000001e-06,4.745327728661616e-07,-1565.1444965965493
95,1.2595039000000001e-06,4.764896090429293e-07,-1569.4932609334037
96,1.2595039000000001e-06,4.78446445219697e-07,-1573.7689796002196
97,1.2595039000000001e-06,4.804032813964646e-07,-1578.0848717289973
98,1.2595039000000001e-06,4.823601175732323e-07,-1582.338008768429
99,1.2595039000000001e-06,4.8431695375e-07,-1586.5610996252408
100,0.020203266983658586,2.9059017225e-07,-37.05727343999115
101,0.020203266983658586,2.925470084267677e-07,-37.057225969735555
102,0.020203266983658586,2.945038446035354e-07,-37.05717850046403
103,0.020203266983658586,2.9646068078030303e-07,-37.05713103218841
104,0.020203266983658586,2.984175169570707e-07,-37.05708356485866
105,0.020203266983658586,3.003743531338384e-07,-37.05703609848115
106,0.020203266983658586,3.023311893106061e-07,-37.056988633045876
107,0.020203266983658586,3.042880254873738e-07,-37.05694116853829
108,0.020203266983658586,3.0624486166414146e-07,-37.0568937049502
109,0.020203266983658586,3.082016978409091e-07,-37.056846242271604
110,0.020203266983658586,3.101585340176768e-07,-37.05679878049068
111,0.020203266983658586,3.1211537019444446e-07,-37.05675131960834
112,0.020203266983658586,3.1407220637121215e-07,-37.05670385960548
113,0.020203266983658586,3.1602904254797984e-07,-37.056656400466636
114,0.020203266983658586,3.179858787247475e-07,-37.056608942207276
115,0.020203266983658586,3.1994271490151516e-07,-37.056561484815575
116,0.020203266983658586,3.2189955107828284e-07,-37.05651402825879
117,0.020203266983658586,3.2385638725505053e-07,-37.05646657257603
118,0.020203266983658586,3.258132234318182e-07,-37.05641911773273
119,0.020203266983658586,3.277700596085859e-07,-37.056371663732534
120,0.020203266983658586,3.2972689578535353e-07,-37.05632421055998
121,0.020203266983658586,3.316837319621212e-07,-37.056276758227796
122,0.020203266983658586,3.336405681388889e-07,-37.056229306718706
123,0.020203266983658586,3.355974043156566e-07,-37.05618185603089
124,0.020203266983658586,3.375542404924243e-07,-37.056134406169804
125,0.020203266983658586,3.3951107666919196e-07,-37.05608695712999
126,0.020203266983658586,3.414679128459596e-07,-37.0560395088969
127,0.020203266983658586,3.434247490227273e-07,-37.05599206149782
128,0.020203266983658586,3.4538158519949497e-07,-37.055944614906366
129,0.020203266983658586,3.4733842137626265e-07,-37.05589716910163
130,0.020203266983658586,3.4929525755303034e-07,-37.05584972414181
131,0.020203266983658586,3.5125209372979797e-07,-37.05580227996961
132,0.020203266983658586,3.5320892990656566e-07,-37.05575483661596
133,0.020203266983658586,3.5516576608333334e-07,-37.05570739405357
134,0.020203266983658586,3.5712260226010103e-07,-37.055659952306996
135,0.020203266983658586,3.590794384368687e-07,-37.05561251137351
136,0.020203266983658586,3.610362746136364e-07,-37.0555650712422
137,0.020203266983658586,3.6299311079040403e-07,-37.055517631910334
138,0.020203266983658586,3.649499469671717e-07,-37.05547019340338
139,0.020203266983658586,3.669067831439394e-07,-37.0554227556795
140,0.020203266983658586,3.688636193207071e-07,-37.05537531877326
141,0.020203266983658586,3.708204554974748e-07,-37.055327882677375
142,0.020203266983658586,3.727772916742424e-07,-37.05528044740004
143,0.020203266983658586,3.747341278510101e-07,-37.05523301292578
144,0.020203266983658586,3.766909640277778e-07,-37.0551855792628
145,0.020203266983658586,3.7864780020454547e-07,-37.05513814641654
146,0.020203266983658586,3.8060463638131315e-07,-37.05509071438064
147,0.020203266983658586,3.8256147255808084e-07,-37.05504328316238
148,0.020203266983658586,3.845183087348485e-07,-37.05499585276266
149,0.020203266983658586,3.8647514491161616e-07,-37.05494842318694
150,0.020203266983658586,3.8843198108838384e-07,-37.05490099443614
151,0.020203266983658586,3.9038881726515153e-07,-37.05485356650388
152,0.020203266983658586,3.923456534419192e-07,-37.05480613939562
153,0.020203266983658586,3.9430248961868685e-07,-37.054758713120464
154,0.020203266983658586,3.9625932579545453e-07,-37.05471128768113
155,0.020203266983658586,3.982161619722222e-07,-37.05466386305761
156,0.020203266983658586,4.001729981489899e-07,-37.05461643929084
157,0.020203266983658586,4.021298343257576e-07,-37.05456901633988
158,0.020203266983658586,4.040866705025253e-07,-37.054521594256585
159,0.020203266983658586,4.0604350667929296e-07,-37.054474173000926
160,0.020203266983658586,4.080003428560606e-07,-37.0544267525911
161,0.020203266983658586,4.099571790328283e-07,-37.05437933303256
162,0.020203266983658586,4.1191401520959597e-07,-37.054331914339855
163,0.020203266983658586,4.138708513863636e-07,-37.05428449648116
164,0.020203266983658586,4.158276875631313e-07,-37.05423707949467
165,0.020203266983658586,4.1778452373989897e-07,-37.05418966335583
166,0.020203266983658586,4.1974135991666666e-07,-37.05414224808919
167,0.020203266983658586,4.2169819609343434e-07,-37.054094833689305
168,0.020203266983658586,4.2365503227020203e-07,-37.05404742016344
169,0.020203266983658586,4.256118684469697e-07,-37.05400000749614
170,0.020203266983658586,4.275687046237374e-07,-37.05395259571924
171,0.020203266983658586,4.2952554080050503e-07,-37.05390518482454
172,0.020203266983658586,4.314823769772727e-07,-37.0538577748157
173,0.020203266983658586,4.334392131540404e-07,-37.05381036567633
174,0.020203266983658586,4.3539604933080804e-07,-37.053762957439176
175,0.020203266983658586,4.373528855075757e-07,-37.05371555009515
176,0.020203266983658586,4.393097216843434e-07,-37.05366814364061
177,0.020203266983658586,4.412665578611111e-07,-37.05362073809283
178,0.020203266983658586,4.432233940378788e-07,-37.05357333345273
179,0.020203266983658586,4.4518023021464647e-07,-37.05352592971212
180,0.020203266983658586,4.4713706639141415e-07,-37.05347852687646
181,0.020203266983658586,4.4909390256818184e-07,-37.05343112497394
182,0.020203266983658586,4.510507387449495e-07,-37.05338372397182
183,0.020203266983658586,4.5300757492171716e-07,-37.05333632389102
184,0.020203266983658586,4.5496441109848484e-07,-37.05328892475336
185,0.020203266983658586,4.569212472752525e-07,-37.053241526529746
186,0.020203266983658586,4.5887808345202016e-07,-37.05319412923018
187,0.020203266983658586,4.6083491962878785e-07,-37.05314673288467
188,0.020203266983658586,4.6279175580555553e-07,-37.053099337472304
189,0.020203266983658586,4.647485919823232e-07,-37.05305194299581
190,0.020203266983658586,4.667054281590909e-07,-37.05300454947519
191,0.020203266983658586,4.686622643358586e-07,-37.052957156888624
192,0.020203266983658586,4.706191005126263e-07,-37.05290976526976
193,0.020203266983658586,4.7257593668939396e-07,-37.05286237459313
194,0.020203266983658586,4.745327728661616e-07,-37.052814984891484
195,0.020203266983658586,4.764896090429293e-07,-37.05276759615572
196,0.020203266983658586,4.78446445219697e-07,-37.052720208386745
197,0.020203266983658586,4.804032813964646e-07,-37.05267282157183
198,0.020203266983658586,4.823601175732323e-07,-37.05262543574099
199,0.020203266983658586,4.8431695375e-07,-37.05257805090423
200,0.04040527446341717,2.9059017225e-07,-37.06087910734368
201,0.04040527446341717,2.925470084267677e-07,-37.06085573137625
202,0.04040527446341717,2.945038446035354e-07,-37.060832357973595
203,0.04040527446341717,2.9646068078030303e-07,-37.060808987115706
204,0.04040527446341717,2.984175169570707e-07,-37.06078561872255
205,0.04040527446341717,3.003743531338384e-07,-37.06076225275956
206,0.04040527446341717,3.023311893106061e-07,-37.06073888915944
207,0.04040527446341717,3.042880254873738e-07,-37.06071552787762
208,0.04040527446341717,3.0624486166414146e-07,-37.06069216887954
209,0.04040527446341717,3.082016978409091e-07,-37.060668812089716
210,0.04040527446341717,3.101585340176768e-07,-37.0606454574754
211,0.04040527446341717,3.1211537019444446e-07,-37.06062210500022
212,0.04040527446341717,3.1407220637121215e-07,-37.06059875460414
213,0.04040527446341717,3.1602904254797984e-07,-37.060575406261705
214,0.04040527446341717,3.179858787247475e-07,-37.060552059920155
215,0.04040527446341717,3.1994271490151516e-07,-37.06052871552674
216,0.04040527446341717,3.2189955107828284e-07,-37.06050537305691
217,0.04040527446341717,3.2385638725505053e-07,-37.060482032455184
218,0.04040527446341717,3.258132234318182e-07,-37.06045869372156
219,0.04040527446341717,3.277700596085859e-07,-37.060435356759626
220,0.04040527446341717,3.2972689578535353e-07,-37.0604120215894
221,0.04040527446341717,3.316837319621212e-07,-37.060388688146304
222,0.04040527446341717,3.336405681388889e-07,-37.060365356383954
223,0.04040527446341717,3.355974043156566e-07,-37.0603420262687
224,0.04040527446341717,3.375542404924243e-07,-37.06031869780327
225,0.04040527446341717,3.3951107666919196e-07,-37.06029537092036
226,0.04040527446341717,3.414679128459596e-07,-37.06027204560269
227,0.04040527446341717,3.434247490227273e-07,-37.060248721818425
228,0.04040527446341717,3.4538158519949497e-07,-37.06022539953028
229,0.04040527446341717,3.4733842137626265e-07,-37.060202078705515
230,0.04040527446341717,3.4929525755303034e-07,-37.06017875932048
231,0.04040527446341717,3.5125209372979797e-07,-37.06015544134152
232,0.04040527446341717,3.5320892990656566e-07,-37.06013212475227
233,0.04040527446341717,3.5516576608333334e-07,-37.0601088095209
234,0.04040527446341717,3.5712260226010103e-07,-37.06008549560829
235,0.04040527446341717,3.590794384368687e-07,-37.060062183008085
236,0.04040527446341717,3.610362746136364e-07,-37.060038871676625
237,0.04040527446341717,3.6299311079040403e-07,-37.06001556159208
238,0.04040527446341717,3.649499469671717e-07,-37.05999225275173
239,0.04040527446341717,3.669067831439394e-07,-37.05996894510281
240,0.04040527446341717,3.688636193207071e-07,-37.05994563862896
241,0.04040527446341717,3.708204554974748e-07,-37.05992233331108
242,0.04040527446341717,3.727772916742424e-07,-37.05989902913734
243,0.04040527446341717,3.747341278510101e-07,-37.05987572606773
244,0.04040527446341717,3.766909640277778e-07,-37.059852424085875
245,0.04040527446341717,3.7864780020454547e-07,-37.0598291231845
246,0.04040527446341717,3.8060463638131315e-07,-37.05980582333359
247,0.04040527446341717,3.8256147255808084e-07,-37.059782524500406
248,0.04040527446341717,3.845183087348485e-07,-37.05975922667403
249,0.04040527446341717,3.8647514491161616e-07,-37.059735929844464
250,0.04040527446341717,3.8843198108838384e-07,-37.05971263399442
251,0.04040527446341717,3.9038881726515153e-07,-37.05968933908753
252,0.04040527446341717,3.923456534419192e-07,-37.05966604511832
253,0.04040527446341717,3.9430248961868685e-07,-37.05964275206679
254,0.04040527446341717,3.9625932579545453e-07,-37.05961945992931
255,0.04040527446341717,3.982161619722222e-07,-37.059596168654934
256,0.04040527446341717,4.001729981489899e-07,-37.05957287826732
257,0.04040527446341717,4.021298343257576e-07,-37.0595495887228
258,0.04040527446341717,4.040866705025253e-07,-37.059526300008656
259,0.04040527446341717,4.0604350667929296e-07,-37.05950301212215
260,0.04040527446341717,4.080003428560606e-07,-37.0594797250551
261,0.04040527446341717,4.099571790328283e-07,-37.05945643875566
262,0.04040527446341717,4.1191401520959597e-07,-37.05943315325749
263,0.04040527446341717,4.138708513863636e-07,-37.05940986850783
264,0.04040527446341717,4.158276875631313e-07,-37.05938658451123
265,0.04040527446341717,4.1778452373989897e-07,-37.05936330124587
266,0.04040527446341717,4.1974135991666666e-07,-37.059340018695366
267,0.04040527446341717,4.2169819609343434e-07,-37.05931673687337
268,0.04040527446341717,4.2365503227020203e-07,-37.05929345574896
269,0.04040527446341717,4.256118684469697e-07,-37.05927017531394
270,0.04040527446341717,4.275687046237374e-07,-37.05924689553649
271,0.04040527446341717,4.2952554080050503e-07,-37.05922361642479
272,0.04040527446341717,4.314823769772727e-07,-37.05920033796792
273,0.04040527446341717,4.334392131540404e-07,-37.05917706014952
274,0.04040527446341717,4.3539604933080804e-07,-37.05915378294958
275,0.04040527446341717,4.373528855075757e-07,-37.059130506380825
276,0.04040527446341717,4.393097216843434e-07,-37.05910723042052
277,0.04040527446341717,4.412665578611111e-07,-37.05908395504321
278,0.04040527446341717,4.432233940378788e-07,-37.05906068026252
279,0.04040527446341717,4.4518023021464647e-07,-37.05903740606209
280,0.04040527446341717,4.4713706639141415e-07,-37.05901413242282
281,0.04040527446341717,4.4909390256818184e-07,-37.05899085934652
282,0.04040527446341717,4.510507387449495e-07,-37.058967586815015
283,0.04040527446341717,4.5300757492171716e-07,-37.058944314831024
284,0.04040527446341717,4.5496441109848484e-07,-37.05892104336999
285,0.04040527446341717,4.569212472752525e-07,-37.05889777244647
286,0.04040527446341717,4.5887808345202016e-07,-37.05887450200589
287,0.04040527446341717,4.6083491962878785e-07,-37.05885123209464
288,0.04040527446341717,4.6279175580555553e-07,-37.05882796268361
289,0.04040527446341717,4.647485919823232e-07,-37.05880469375643
290,0.04040527446341717,4.667054281590909e-07,-37.05878142531583
291,0.04040527446341717,4.686622643358586e-07,-37.058758157347256
292,0.04040527446341717,4.706191005126263e-07,-37.058734889845255
293,0.04040527446341717,4.7257593668939396e-07,-37.05871162279891
294,0.04040527446341717,4.745327728661616e-07,-37.058688356220046
295,0.04040527446341717,4.764896090429293e-07,-37.0586650900741
296,0.04040527446341717,4.78446445219697e-07,-37.05864182438654
297,0.04040527446341717,4.804032813964646e-07,-37.058618559122806
298,0.04040527446341717,4.823601175732323e-07,-37.05859529427653
299,0.04040527446341717,4.8431695375e-07,-37.05857202987045
300,0.06060728194317575,2.9059017225e-07,-37.062091753909954
301,0.06060728194317575,2.925470084267677e-07,-37.06207634267503
302,0.06060728194317575,2.945038446035354e-07,-37.062060934888905
303,0.06060728194317575,2.9646068078030303e-07,-37.062045530500654
304,0.06060728194317575,2.984175169570707e-07,-37.0620301294357
305,0.06060728194317575,3.003743531338384e-07,-37.062014731657655
306,0.06060728194317575,3.023311893106061e-07,-37.0619993371356
307,0.06060728194317575,3.042880254873738e-07,-37.0619839457986
308,0.06060728194317575,3.0624486166414146e-07,-37.06196855759663
309,0.06060728194317575,3.082016978409091e-07,-37.06195317248057
310,0.06060728194317575,3.101585340176768e-07,-37.06193779041132
311,0.06060728194317575,3.1211537019444446e-07,-37.06192241134249
312,0.06060728194317575,3.1407220637121215e-07,-37.06190703521861
313,0.06060728194317575,3.1602904254797984e-07,-37.061891661993286
314,0.06060728194317575,3.179858787247475e-07,-37.061876291641966
315,0.06060728194317575,3.1994271490151516e-07,-37.06186092410098
316,0.06060728194317575,3.2189955107828284e-07,-37.061845559341236
317,0.06060728194317575,3.2385638725505053e-07,-37.06183019729178
318,0.06060728194317575,3.258132234318182e-07,-37.061814837950806
319,0.06060728194317575,3.277700596085859e-07,-37.061799481259186
320,0.06060728194317575,3.2972689578535353e-07,-37.06178412717054
321,0.06060728194317575,3.316837319621212e-07,-37.06176877564667
322,0.06060728194317575,3.336405681388889e-07,-37.06175342664574
323,0.06060728194317575,3.355974043156566e-07,-37.06173808015683
324,0.06060728194317575,3.375542404924243e-07,-37.061722736108095
325,0.06060728194317575,3.3951107666919196e-07,-37.06170739447316
326,0.06060728194317575,3.414679128459596e-07,-37.06169205522201
327,0.06060728194317575,3.434247490227273e-07,-37.06167671831736
328,0.06060728194317575,3.4538158519949497e-07,-37.06166138372009
329,0.06060728194317575,3.4733842137626265e-07,-37.06164605138565
330,0.06060728194317575,3.4929525755303034e-07,-37.061630721288566
