species_id,LL,model,Theta,Nu,N_a,N_e,T,T_scaled,T_gen
Akkermansia_muciniphila_55290,-106.698739485.,two_epoch,7908.429107,0.00465678,4.25E+14,1.98E+12,2.79E-08,23717067.74,22438.09625
Alistipes_finegoldii_56071_no_mask,-490.782243866.,two_epoch,5655.9,2.46E-03,5.76E+14,1.41E+12,1.72E-08,19816382.71,18747.76037
Alistipes_onderdonkii_55464,-306.910830279.,two_epoch,6554.59,0.00436106,3.76E+14,1.64E+12,2.09E-08,15691880.97,14845.67736
Alistipes_shahii_62199,-216.820714624.,two_epoch,3760.55,3.12E-04,3.01E+15,9.40E+11,1.73E-09,10433732.19,9871.080596
Bacteroidales_bacterium_58650_no_mask,-229.20036262.,two_epoch,4719.82,3.17E-04,3.72E+15,1.18E+12,1.28E-09,9493299.322,8981.361704
Bacteroidales_bacterium_58650,-172.304980687.,two_epoch,4996.01,0.0480076,2.60E+13,1.25E+12,2.95E-07,15360833.87,14532.48238
Bacteroides_caccae_53434,-97.799072442.,two_epoch,3851.8,5.55E-03,1.74E+14,9.63E+11,6.45E-08,22401074.4,21193.06944
Bacteroides_fragilis_54507,-311.019473246.,two_epoch,5928.7,3.29E-01,4.51E+12,1.48E+12,1.97E-06,17775166.81,16816.6195
Bacteroides_massiliensis_44749,-20.3617426946.,two_epoch,151.72,1.33E-03,2.86E+13,37931038513,1.88E-07,10727401.46,10148.91339
Bacteroides_ovatus_58035_no_singletons,-181.635398065.,two_epoch,2302.29,3.80E-01,1.51E+12,5.76E+11,3.59E-06,10889632.96,10302.39637
Bacteroides_ovatus_58035,-181.635388774.,two_epoch,2302.29,2.61E-03,2.20E+14,5.76E+11,5.10E-08,22466401.94,21254.87412
Bacteroides_uniformis_57318_no_doubletons,-230.274343689.,two_epoch,1998.25,1.86E-01,2.68E+12,5.00E+11,3.26E-06,17501225.22,16557.45054
Bacteroides_vulgatus_57955,-142.247474874.,two_epoch,2364.57,4.37E-03,1.35E+14,5.91E+11,3.68E-08,9945661.823,9409.330013
Bacteroides_xylanisolvens_57185,-166.062878284.,two_epoch,2105.96,3.72E-03,1.41E+14,5.26E+11,3.86E-08,10932277.53,10342.74127
Barnesiella_intestinihominis_62208_no_mask,-722.082509855.,two_epoch,10163.5,3.16E-03,8.03E+14,2.54E+12,1.50E-08,24103171.9,22803.37928
Barnesiella_intestinihominis_62208,-254.215604645.,two_epoch,11352.92,0.00446469,6.36E+14,2.84E+12,8.98E-09,11413722.69,10798.22393
Coprococcus_sp_62244_no_singletons,-69.8262714275.,two_epoch,3549.66,1.56E-01,5.70E+12,8.87E+11,1.53E-06,17483098.14,16540.30098
Coprococcus_sp_62244,-128.086317642.,two_epoch,3905.85,4.22E-03,2.32E+14,9.76E+11,5.00E-08,23152608.18,21904.07586
Dialister_invisus_61905,-140.340719466.,two_epoch,7220.07,4.82E-03,3.74E+14,1.81E+12,1.58E-08,11799519.55,11163.21622
Eubacterium_eligens_61678,-226.737980578.,two_epoch,5825.75,4.33E-03,3.37E+14,1.46E+12,1.88E-08,12670939.61,11987.64391
Odoribacter_splanchnicus_62174,-78.6929930003.,two_epoch,2921.13,7.09E-03,1.03E+14,7.30E+11,5.00E-08,10298978.76,9743.593903
Parabacteroides_merdae_56972,-153.066205058.,two_epoch,5617.27,0.00779581,1.80E+14,1.40E+12,3.18E-08,11447372.92,10830.05953
Phascolarctobacterium_sp_59817_no_mask,-537.32650024.,two_epoch,4271.54,4.57E-03,2.34E+14,1.07E+12,3.50E-08,16353505.08,15471.62259
Phascolarctobacterium_sp_59817,-418.923484969.,two_epoch,4106.59,0.00452343,2.27E+14,1.03E+12,2.48E-08,11247778.16,10641.22816
Prevotella_copri_61740,-302.787650779.,two_epoch,7974.95,3.47E-03,5.74E+14,1.99E+12,1.89E-08,21715318.14,20544.29341
Ruminococcus_bicirculans_59300,-2940.22002254.,two_epoch,14222.54,7.09E-03,5.02E+14,3.56E+12,2.03E-08,20412228.44,19311.4744
Akkermansia_muciniphila_55290,-106.693881071.,three_epoch,7826.97,0.0042442,4.61E+14,1.96E+12,2.89E-08,26681810.5,25242.96168
Alistipes_onderdonkii_55464,-306.75876952.,three_epoch,5121.98,0.0023526,5.44E+14,1.28E+12,1.76E-08,19169074.85,18135.35936
Alistipes_shahii_62199,-216.82071422.,three_epoch,6754.51,0.0047518,3.55E+14,1.69E+12,1.98E-08,14045287.66,13287.87858
Bacteroidales_bacterium_58650,-172.280667475.,three_epoch,3469.11,0.0003093,2.80E+15,8.67E+11,1.90E-09,10636959.44,10063.34857
Bacteroides_caccae_53434,-97.8013572965.,three_epoch,4498.93,0.0003046,3.69E+15,1.12E+12,1.28E-09,9448552.794,8939.028187
Bacteroides_fragilis_54507,-311.019473079.,three_epoch,5046.47,0.0440854,2.86E+13,1.26E+12,3.08E-07,17656754.13,16704.59237
Bacteroides_massiliensis_44749,-20.3617425824.,three_epoch,4085.6,0.0050577,2.02E+14,1.02E+12,6.04E-08,24412586.67,23096.10848
Bacteroides_ovatus_58035,-177.825820482.,three_epoch,5771,0.3191085,4.52E+12,1.44E+12,1.87E-06,16867202.79,15957.61854
Bacteroides_uniformis_57318_no_doubletons,-230.274347992.,three_epoch,145.56,0.0012599,2.89E+13,36391038349,1.73E-07,9965573.133,9428.167581
Bacteroides_vulgatus_57955,-142.247464028.,three_epoch,2481.41,0.4040183,1.54E+12,6.20E+11,3.43E-06,10528170.88,9960.426569
Bacteroides_xylanisolvens_57185,-166.062876243.,three_epoch,2378.04,0.0024648,2.41E+14,5.95E+11,4.77E-08,23003823.38,21763.31446
Coprococcus_sp_62244_no_singletons,-69.8262785214.,three_epoch,2042.62,0.2017496,2.53E+12,5.11E+11,3.52E-06,17823665.42,16862.50276
Coprococcus_sp_62244,-128.156369625.,three_epoch,2441.89,0.0041442,1.47E+14,6.10E+11,3.82E-08,11246071.85,10639.61386
Dialister_invisus_61905,-140.340715574.,three_epoch,2141.98,0.0039774,1.35E+14,5.35E+11,4.21E-08,11335591.22,10724.30579
Eubacterium_eligens_61678,-226.737965776.,three_epoch,10458.25,0.0031246,8.37E+14,2.61E+12,1.60E-08,26838050.01,25390.77579
Odoribacter_splanchnicus_62174,-78.6923805497.,three_epoch,11022.55,0.0045933,6.00E+14,2.76E+12,8.45E-09,10135857.25,9589.268926
Parabacteroides_merdae_56972,-153.107375622.,three_epoch,3392.05,0.1546731,5.48E+12,8.48E+11,1.62E-06,17718366.52,16762.88223
Phascolarctobacterium_sp_59817,-418.893511859.,three_epoch,3696.88,0.0039425,2.34E+14,9.24E+11,5.09E-08,23840907.88,22555.25817
Prevotella_copri_61740,-302.787639288.,three_epoch,7530.53,0.0043434,4.33E+14,1.88E+12,1.64E-08,14188182.17,13423.06733
Ruminococcus_bicirculans_59300,-2940.22109391.,three_epoch,6058.78,0.0045993,3.29E+14,1.51E+12,1.80E-08,11848717.34,11209.76097
Akkermansia_muciniphila_55290_no_mask,-325.661416998.,one_epoch,2725.41,0.0069908,9.75E+13,6.81E+11,4.73E-08,9217143.064,8720.097506
Akkermansia_muciniphila_55290,-154.628390672.,one_epoch,5365.05,0.0081318,1.65E+14,1.34E+12,3.21E-08,10603214.6,10031.42347
Alistipes_finegoldii_56071_no_mask,-498.896273053.,one_epoch,4693.99,0.0048123,2.44E+14,1.17E+12,3.44E-08,16755511.76,15851.95058
Alistipes_onderdonkii_55464_no_mask,-453.284486831.,one_epoch,4134.92,0.0045872,2.25E+14,1.03E+12,2.32E-08,10447589.31,9884.190453
Alistipes_onderdonkii_55464,-409.666652485.,one_epoch,8210.21,0.0034304,5.98E+14,2.05E+12,1.77E-08,21177268.5,20035.25875
