Recombination percentile,Remaining sites
0.0,4121995
0.01,4121995
0.02,4121995
0.03,4121995
0.04,4121995
0.05,4121995
0.06,4121995
0.07,4121995
0.08,4121995
0.09,4121995
0.1,4121995
0.11,4121995
0.12,4121995
0.13,4121995
0.14,4121995
0.15,4121995
0.16,4121995
0.17,4121995
0.18,4121995
0.19,4121995
0.2,4121995
0.21,4121995
0.22,3578996
0.23,3578996
0.24,3578996
0.25,3578996
0.26,3578996
0.27,3578996
0.28,3578996
0.29,3578996
0.3,3578996
0.31,3578996
0.32,3578996
0.33,2981093
0.34,2981093
0.35000000000000003,2981093
0.36,2981093
0.37,2981093
0.38,2981093
0.39,2981093
0.4,2981093
0.41000000000000003,2981093
0.42,2981093
0.43,2981093
0.44,2981093
0.45,2981093
0.46,2526815
0.47000000000000003,2526815
0.48,2526815
0.49,2526815
0.5,2526815
0.51,2526815
0.52,2526815
0.53,2526815
0.54,2112094
0.55,2112094
0.56,2112094
0.5700000000000001,2112094
0.58,2112094
0.59,2112094
0.6,2112094
0.61,2112094
0.62,1684216
0.63,1684216
0.64,1684216
0.65,1684216
0.66,1684216
0.67,1684216
0.68,1684216
0.6900000000000001,1684216
0.7000000000000001,1684216
0.71,1684216
0.72,1406618
0.73,1406618
0.74,1406618
0.75,1132418
0.76,1132418
0.77,1132418
0.78,1132418
0.79,1132418
0.8,907911
0.81,907911
0.8200000000000001,907911
0.8300000000000001,907911
0.84,907911
0.85,703807
0.86,703807
0.87,703807
0.88,557136
0.89,557136
0.9,557136
0.91,452430
0.92,452430
0.93,345307
0.9400000000000001,345307
0.9500000000000001,270739
0.96,214699
0.97,142250
0.98,107702
0.99,57922
1.0,0
