Recombination percentile,Remaining sites
0.0,835140
0.01,831335
0.02,824628
0.03,815109
0.04,809306
0.05,802045
0.06,802045
0.07,775529
0.08,775529
0.09,763665
0.1,763665
0.11,753326
0.12,747762
0.13,740371
0.14,731549
0.15,730273
0.16,723545
0.17,717904
0.18,711938
0.19,705897
0.2,684743
0.21,684743
0.22,676451
0.23,667662
0.24,655155
0.25,655155
0.26,645798
0.27,637045
0.28,637045
0.29,627470
0.3,627435
0.31,606674
0.32,606637
0.33,596459
0.34,582860
0.35000000000000003,569915
0.36,562545
0.37,545755
0.38,541608
0.39,529529
0.4,521267
0.41000000000000003,508211
0.42,508211
0.43,496883
0.44,492453
0.45,477735
0.46,469361
0.47000000000000003,459031
0.48,449823
0.49,440899
0.5,431909
0.51,421043
0.52,417197
0.53,413363
0.54,405372
0.55,391006
0.56,385787
0.5700000000000001,372960
0.58,364524
0.59,359195
0.6,349758
0.61,344468
0.62,334211
0.63,326898
0.64,324624
0.65,318562
0.66,303707
0.67,298611
0.68,288717
0.6900000000000001,280144
0.7000000000000001,275710
0.71,268577
0.72,262209
0.73,245295
0.74,235284
0.75,224025
0.76,211392
0.77,202888
0.78,195501
0.79,193232
0.8,179967
0.81,165573
0.8200000000000001,154573
0.8300000000000001,148863
0.84,140300
0.85,133271
0.86,124068
0.87,119378
0.88,112749
0.89,98489
0.9,91322
0.91,86504
0.92,74876
0.93,66154
0.9400000000000001,57154
0.9500000000000001,44640
0.96,38248
0.97,30257
0.98,22759
0.99,14804
1.0,0
