run_accession,sample_accession,experiment_accession,study_accession,sra_ftp
SRR7658583,SAMN09781766,SRX4520303,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/003/SRR7658583
SRR7658585,SAMN09781760,SRX4520301,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/005/SRR7658585
SRR7658587,SAMN09781762,SRX4520299,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/007/SRR7658587
SRR7658588,SAMN09781763,SRX4520298,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/008/SRR7658588
SRR7658590,SAMN09781710,SRX4520296,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/000/SRR7658590
SRR7658595,SAMN09781717,SRX4520291,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/005/SRR7658595
SRR7658601,SAMN09781700,SRX4520285,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/001/SRR7658601
SRR7658604,SAMN09781707,SRX4520282,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/004/SRR7658604
SRR7658607,SAMN09781708,SRX4520279,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/007/SRR7658607
SRR7658609,SAMN09781681,SRX4520277,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/009/SRR7658609
SRR7658611,SAMN09781683,SRX4520275,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/001/SRR7658611
SRR7658613,SAMN09781685,SRX4520273,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/003/SRR7658613
SRR7658614,SAMN09781684,SRX4520272,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/004/SRR7658614
SRR7658619,SAMN09781737,SRX4520267,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/009/SRR7658619
SRR7658620,SAMN09781736,SRX4520266,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/000/SRR7658620
SRR7658621,SAMN09781735,SRX4520265,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/001/SRR7658621
SRR7658624,SAMN09781732,SRX4520262,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/004/SRR7658624
SRR7658626,SAMN09781730,SRX4520260,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/006/SRR7658626
SRR7658628,SAMN09781738,SRX4520258,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/008/SRR7658628
SRR7658629,SAMN09781720,SRX4520257,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/009/SRR7658629
SRR7658631,SAMN09781722,SRX4520255,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/001/SRR7658631
SRR7658634,SAMN09781725,SRX4520252,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/004/SRR7658634
SRR7658636,SAMN09781727,SRX4520250,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/006/SRR7658636
SRR7658638,SAMN09781729,SRX4520248,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/008/SRR7658638
SRR7658639,SAMN09781788,SRX4520247,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/009/SRR7658639
SRR7658641,SAMN09781782,SRX4520245,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/001/SRR7658641
SRR7658644,SAMN09781781,SRX4520242,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/004/SRR7658644
SRR7658645,SAMN09781786,SRX4520241,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/005/SRR7658645
SRR7658646,SAMN09781787,SRX4520240,PRJNA485056,ftp.sra.ebi.ac.uk/vol1/srr/SRR765/006/SRR7658646
