site, alts, refs, total
411483.3.peg.903.site.1, 1, 151, 152
411483.3.peg.903.site.2, 1, 105, 106
411483.3.peg.903.site.3, 15, 123, 138
411483.3.peg.903.site.4, 1, 153, 154
411483.3.peg.903.site.5, 1, 153, 154
411483.3.peg.903.site.6, 14, 150, 164
411483.3.peg.903.site.7, 3, 153, 156
411483.3.peg.903.site.8, 8, 145, 153
411483.3.peg.903.site.9, 42, 148, 190
411483.3.peg.903.site.10, 4, 138, 142
411483.3.peg.903.site.11, 11, 127, 138
411483.3.peg.903.site.12, 1, 112, 113
411483.3.peg.903.site.13, 0, 126, 126
411483.3.peg.903.site.14, 3, 125, 128
411483.3.peg.903.site.15, 0, 126, 126
411483.3.peg.903.site.16, 13, 123, 136
411483.3.peg.903.site.17, 2, 125, 127
411483.3.peg.903.site.18, 5, 125, 130
411483.3.peg.903.site.19, 1, 131, 132
411483.3.peg.903.site.20, 98, 126, 224
411483.3.peg.903.site.21, 138, 140, 278
411483.3.peg.903.site.22, 48, 140, 188
411483.3.peg.903.site.23, 13, 146, 159
411483.3.peg.903.site.24, 1, 149, 150
411483.3.peg.903.site.25, 1, 148, 149
411483.3.peg.903.site.26, 76, 135, 211
411483.3.peg.903.site.27, 2, 150, 152
411483.3.peg.903.site.28, 68, 140, 208
411483.3.peg.903.site.29, 0, 149, 149
411483.3.peg.903.site.30, 1, 153, 154
411483.3.peg.903.site.31, 24, 140, 164
411483.3.peg.903.site.32, 7, 150, 157
411483.3.peg.903.site.33, 2, 153, 155
411483.3.peg.903.site.34, 1, 155, 156
411483.3.peg.903.site.35, 12, 150, 162
411483.3.peg.903.site.36, 4, 151, 155
411483.3.peg.903.site.37, 7, 150, 157
411483.3.peg.903.site.38, 8, 148, 156
411483.3.peg.903.site.39, 2, 152, 154
411483.3.peg.903.site.40, 154, 154, 308
411483.3.peg.903.site.41, 4, 148, 152
411483.3.peg.903.site.42, 4, 154, 158
411483.3.peg.903.site.43, 10, 145, 155
411483.3.peg.903.site.44, 9, 146, 155
411483.3.peg.903.site.45, 0, 150, 150
411483.3.peg.903.site.46, 3, 150, 153
411483.3.peg.903.site.47, 0, 149, 149
411483.3.peg.903.site.48, 3, 149, 152
411483.3.peg.903.site.49, 7, 145, 152
411483.3.peg.903.site.50, 1, 150, 151
411483.3.peg.903.site.51, 1, 148, 149
411483.3.peg.903.site.52, 1, 137, 138
411483.3.peg.903.site.53, 6, 141, 147
411483.3.peg.903.site.54, 42, 132, 174
411483.3.peg.903.site.55, 7, 146, 153
411483.3.peg.903.site.56, 3, 145, 148
411483.3.peg.903.site.57, 4, 140, 144
411483.3.peg.903.site.58, 38, 133, 171
411483.3.peg.903.site.59, 7, 147, 154
411483.3.peg.903.site.60, 4, 150, 154
411483.3.peg.903.site.61, 6, 152, 158
411483.3.peg.903.site.62, 0, 150, 150
411483.3.peg.903.site.63, 3, 154, 157
411483.3.peg.903.site.64, 18, 148, 166
411483.3.peg.903.site.65, 15, 150, 165
411483.3.peg.903.site.66, 4, 149, 153
411483.3.peg.2539.site.1, 0, 152, 152
411483.3.peg.2539.site.2, 0, 151, 151
411483.3.peg.2539.site.3, 14, 145, 159
411483.3.peg.2539.site.4, 12, 148, 160
411483.3.peg.2539.site.5, 34, 149, 183
411483.3.peg.2539.site.6, 1, 152, 153
411483.3.peg.2539.site.7, 3, 153, 156
411483.3.peg.2539.site.8, 1, 152, 153
411483.3.peg.2539.site.9, 0, 149, 149
411483.3.peg.2539.site.10, 2, 155, 157
411483.3.peg.2539.site.11, 3, 151, 154
411483.3.peg.2539.site.12, 0, 152, 152
411483.3.peg.2539.site.13, 6, 152, 158
411483.3.peg.2539.site.14, 22, 153, 175
411483.3.peg.2539.site.15, 3, 153, 156
411483.3.peg.2539.site.16, 56, 146, 202
411483.3.peg.2539.site.17, 1, 155, 156
411483.3.peg.2539.site.18, 1, 154, 155
411483.3.peg.2539.site.19, 1, 150, 151
411483.3.peg.2539.site.20, 0, 153, 153
411483.3.peg.2539.site.21, 136, 148, 284
411483.3.peg.2539.site.22, 13, 147, 160
411483.3.peg.2539.site.23, 19, 150, 169
411483.3.peg.2539.site.24, 2, 153, 155
411483.3.peg.2539.site.25, 109, 139, 248
411483.3.peg.2539.site.26, 4, 153, 157
411483.3.peg.2539.site.27, 71, 143, 214
411483.3.peg.2539.site.28, 0, 148, 148
411483.3.peg.2539.site.29, 1, 145, 146
411483.3.peg.2539.site.30, 0, 138, 138
411483.3.peg.2539.site.31, 0, 146, 146
411483.3.peg.2539.site.32, 6, 153, 159
411483.3.peg.2539.site.33, 5, 152, 157
411483.3.peg.2539.site.34, 0, 153, 153
411483.3.peg.2539.site.35, 0, 153, 153
411483.3.peg.2539.site.36, 0, 153, 153
411483.3.peg.2539.site.37, 5, 131, 136
411483.3.peg.2539.site.38, 1, 137, 138
411483.3.peg.2539.site.39, 72, 122, 194
411483.3.peg.2539.site.40, 6, 145, 151
411483.3.peg.2539.site.41, 3, 149, 152
411483.3.peg.2539.site.42, 1, 152, 153
411483.3.peg.2539.site.43, 63, 141, 204
411483.3.peg.2539.site.44, 14, 154, 168
411483.3.peg.2539.site.45, 1, 154, 155
411483.3.peg.2539.site.46, 0, 152, 152
411483.3.peg.2539.site.47, 2, 148, 150
411483.3.peg.2539.site.48, 0, 149, 149
411483.3.peg.2539.site.49, 7, 151, 158
411483.3.peg.2539.site.50, 1, 147, 148
411483.3.peg.2539.site.51, 9, 142, 151
411483.3.peg.2539.site.52, 0, 144, 144
411483.3.peg.2539.site.53, 1, 147, 148
411483.3.peg.2539.site.54, 4, 151, 155
411483.3.peg.2539.site.55, 0, 150, 150
411483.3.peg.2539.site.56, 1, 151, 152
411483.3.peg.2539.site.57, 38, 138, 176
411483.3.peg.2539.site.58, 7, 153, 160
411483.3.peg.2538.site.1, 1, 151, 152
411483.3.peg.2538.site.2, 4, 155, 159
411483.3.peg.2538.site.3, 5, 152, 157
411483.3.peg.2538.site.4, 4, 152, 156
411483.3.peg.2538.site.5, 5, 148, 153
411483.3.peg.2538.site.6, 11, 146, 157
411483.3.peg.2538.site.7, 4, 152, 156
411483.3.peg.2538.site.8, 14, 146, 160
411483.3.peg.2538.site.9, 1, 148, 149
411483.3.peg.2538.site.10, 59, 140, 199
411483.3.peg.2538.site.11, 3, 150, 153
411483.3.peg.2538.site.12, 143, 148, 291
411483.3.peg.2538.site.13, 5, 152, 157
411483.3.peg.2538.site.14, 1, 155, 156
411483.3.peg.2538.site.15, 1, 155, 156
411483.3.peg.2538.site.16, 17, 151, 168
411483.3.peg.2538.site.17, 2, 152, 154
411483.3.peg.2538.site.18, 0, 153, 153
411483.3.peg.2538.site.19, 12, 153, 165
411483.3.peg.2538.site.20, 40, 142, 182
411483.3.peg.2538.site.21, 63, 146, 209
411483.3.peg.2538.site.22, 13, 149, 162
